ID,name,quantity,dateFrom,dateTo,scrapped,isMaterial,note,Branch
23,OaUY4qx7bkDhMm8,207,"Friday, November 8, 2002","Friday, April 11, 2014",TRUE,TRUE,,809
24,UeMWWlWhiTgR32Z,265,"Sunday, October 27, 2002","Sunday, November 6, 2016",FALSE,FALSE,,226
25,MHPlDzIamjLkkF8,207,"Wednesday, March 29, 2000","Monday, February 13, 2012",FALSE,FALSE,,4619
26,JU4e8KIxVJeH5fd,116,"Sunday, March 27, 2005","Tuesday, November 2, 2010",FALSE,FALSE,,3992
27,xfC7mot1H3fN6oY,13,"Saturday, November 6, 2004","Monday, December 16, 2013",FALSE,FALSE,,1018
28,jRFIKSVgvKpF0tf,225,"Tuesday, September 18, 2001","Sunday, February 15, 2009",TRUE,TRUE,,101
29,gmD4JsXN3CXot6l,49,"Wednesday, May 26, 2004","Wednesday, July 11, 2018",TRUE,TRUE,,2982
30,TQg04poK6opSmlc,87,"Saturday, June 4, 2005","Tuesday, May 20, 2008",TRUE,TRUE,,5922
31,crJKPkHmK0c0W9X,219,"Thursday, January 9, 2003","Wednesday, August 16, 2017",FALSE,FALSE,,4115
32,E8ySnwXhCb8eArD,165,"Tuesday, March 9, 2004","Wednesday, July 4, 2012",TRUE,TRUE,,6440
33,mukD6WHItLmSUhE,24,"Tuesday, January 15, 2002","Monday, February 8, 2010",TRUE,TRUE,,7156
34,Mn0BAiAf4ABxdFE,256,"Wednesday, April 10, 2002","Tuesday, March 9, 2010",TRUE,TRUE,,2136
35,ILb4JJqWpusRGsm,185,"Thursday, December 9, 2004","Thursday, July 15, 2010",TRUE,TRUE,,4258
36,3LiwI0tKG1Xilu0,103,"Monday, October 21, 2002","Monday, February 17, 2014",FALSE,FALSE,,2095
37,c5YmnS68VQ7Hjg3,297,"Sunday, November 5, 2000","Friday, October 26, 2007",FALSE,FALSE,,9248
38,0A2G8ono7q5Uhdi,132,"Thursday, September 4, 2003","Tuesday, September 29, 2009",FALSE,FALSE,,8702
39,cOrpwQQs4xSD2Xl,100,"Friday, January 17, 2003","Friday, January 16, 2015",TRUE,TRUE,,3101
40,d6Kwe8rZtfa59Ka,199,"Tuesday, November 11, 2003","Monday, September 5, 2011",TRUE,TRUE,,9587
41,tOces3rZ1TTF6Zy,178,"Sunday, January 18, 2004","Friday, December 30, 2011",FALSE,FALSE,,5725
42,C60BavEROvuO5Bl,216,"Wednesday, April 23, 2003","Saturday, January 25, 2014",TRUE,TRUE,,3061
43,ti9sJOwDMp70Xbh,72,"Friday, January 14, 2005","Thursday, June 2, 2011",TRUE,TRUE,,7309
44,2XjStWt9VrMEiEg,289,"Saturday, April 14, 2001","Sunday, August 6, 2017",TRUE,TRUE,,6493
45,v7ixTAbtPR1MucS,66,"Monday, May 9, 2005","Saturday, February 14, 2009",TRUE,TRUE,,3875
46,K9vlktrPa7ZLLBq,230,"Sunday, March 24, 2002","Sunday, May 1, 2016",TRUE,TRUE,,7498
47,AG59sfTZrJApHph,51,"Wednesday, November 16, 2005","Thursday, August 16, 2007",FALSE,FALSE,,797
48,y60eUttsKknvQsc,29,"Sunday, October 10, 2004","Monday, April 14, 2008",FALSE,FALSE,,9329
49,yGvJYUG2a3jd5WZ,79,"Monday, December 5, 2005","Monday, December 19, 2011",TRUE,TRUE,,3810
50,QLHWdlSjAgn8ivQ,161,"Tuesday, July 19, 2005","Friday, August 29, 2014",FALSE,FALSE,,8385
51,IPjXFHdsWII8f6R,82,"Tuesday, July 26, 2005","Monday, July 19, 2010",TRUE,TRUE,,5823
52,f0wKKaDo6VVtM4Z,48,"Thursday, October 18, 2001","Thursday, November 7, 2013",TRUE,TRUE,,5275
53,s4SrItEuAkQriLr,25,"Tuesday, February 26, 2002","Sunday, August 18, 2013",FALSE,FALSE,,2466
54,ANhqxG7Pibgv6xm,82,"Friday, January 20, 2006","Friday, September 28, 2012",FALSE,FALSE,,6573
55,NzSlEB32FIfhDNd,92,"Tuesday, November 26, 2002","Sunday, December 26, 2010",TRUE,TRUE,,7385
56,ifqRIRNkojRpnda,188,"Sunday, July 10, 2005","Saturday, January 16, 2016",TRUE,TRUE,,5353
57,AsQvs0DT6gfNk70,91,"Saturday, October 29, 2005","Sunday, November 30, 2014",FALSE,FALSE,,4212
58,agG15nhzbIj6z5t,67,"Tuesday, March 26, 2002","Monday, March 12, 2012",FALSE,FALSE,,8939
59,xfUpMLM7NST7bB2,289,"Friday, June 21, 2002","Thursday, June 9, 2011",FALSE,FALSE,,7176
60,SIjYIHmRDHIMKP6,111,"Monday, February 13, 2006","Wednesday, April 21, 2010",TRUE,TRUE,,5369
61,CIFhcpAar3CniFK,206,"Thursday, April 1, 2004","Tuesday, April 12, 2016",FALSE,FALSE,,534
62,Wf2erZdebG8htlc,38,"Thursday, October 28, 2004","Tuesday, December 29, 2015",TRUE,TRUE,,3992
63,jfuUMyONnFKI69e,169,"Monday, January 15, 2001","Friday, November 14, 2008",FALSE,FALSE,,2901
64,8uj7K59auI4tKOR,226,"Saturday, February 23, 2002","Friday, January 18, 2019",TRUE,TRUE,,5358
65,kShPknsTrNDpPcJ,53,"Wednesday, June 2, 2004","Wednesday, March 29, 2017",TRUE,TRUE,,5121
66,yzQJnJRrmkncLJe,56,"Wednesday, September 4, 2002","Saturday, April 12, 2008",TRUE,TRUE,,6057
67,RnmRflZzywxcJED,233,"Wednesday, November 30, 2005","Saturday, October 31, 2015",TRUE,TRUE,,5298
68,af1dVtL4DWgpaH8,64,"Friday, December 12, 2003","Friday, December 11, 2015",TRUE,TRUE,,756
69,IbvzYulP3FGiVcC,182,"Tuesday, June 24, 2003","Saturday, July 12, 2008",TRUE,TRUE,,8815
70,FKoqpJH3BNRaEol,275,"Sunday, September 1, 2002","Monday, January 26, 2015",FALSE,FALSE,,3070
71,LKqZUk61fSk6jO5,294,"Sunday, February 8, 2004","Saturday, May 30, 2009",FALSE,FALSE,,4195
72,rAcBpyQTld9aeqm,104,"Monday, June 30, 2003","Sunday, November 11, 2018",TRUE,TRUE,,2213
73,A7ok3rskwnkd00e,98,"Saturday, December 20, 2003","Wednesday, October 30, 2013",FALSE,FALSE,,6466
74,n4FFo0sVIo0ltrw,79,"Friday, March 18, 2005","Wednesday, August 2, 2017",TRUE,TRUE,,3920
75,V2iKVzUBLQxnfIx,261,"Friday, December 22, 2000","Sunday, November 8, 2015",TRUE,TRUE,,3756
76,sdjkh5LNYT8KKwz,155,"Sunday, August 24, 2003","Monday, September 8, 2014",FALSE,FALSE,,6915
77,t9gO8blkenVuanV,185,"Sunday, September 22, 2002","Sunday, August 30, 2015",FALSE,FALSE,,7662
78,IVz9DX5Tay5o9Z2,109,"Tuesday, September 2, 2003","Tuesday, May 17, 2016",TRUE,TRUE,,4043
79,MNtbcvEKGzFwkbP,130,"Wednesday, October 9, 2002","Saturday, October 13, 2018",TRUE,TRUE,,3570
80,HRv2W9bsn0JL27C,258,"Friday, January 17, 2003","Monday, February 3, 2014",FALSE,FALSE,,5340
81,UIFqYvfx9UeSSuz,193,"Sunday, July 30, 2000","Saturday, March 6, 2010",FALSE,FALSE,,5617
82,eiHJ2HD1zB1VBPF,193,"Friday, July 5, 2002","Wednesday, December 25, 2013",TRUE,TRUE,,1578
83,fCnyxwFSI4MYoGN,129,"Tuesday, October 8, 2002","Thursday, September 9, 2010",FALSE,FALSE,,5452
84,1pZP8SbW9WFaDCP,229,"Thursday, July 20, 2000","Tuesday, February 9, 2010",TRUE,TRUE,,2226
85,IsYw1dVHW6GqCJl,226,"Saturday, June 3, 2000","Sunday, March 10, 2019",FALSE,FALSE,,5026
86,OIWlMH39I0kCjI3,222,"Friday, January 4, 2002","Sunday, March 9, 2008",TRUE,TRUE,,9251
87,MFCRHuR4jmU8fKy,67,"Tuesday, April 6, 2004","Saturday, September 12, 2015",FALSE,FALSE,,4767
88,rrUVHNZmdAB0sAG,89,"Sunday, December 31, 2000","Wednesday, April 27, 2016",TRUE,TRUE,,2967
89,YGatatjL3aD7ibZ,275,"Sunday, April 28, 2002","Tuesday, August 23, 2011",TRUE,TRUE,,7488
90,jcARm4KDbsG93CQ,137,"Saturday, February 21, 2004","Wednesday, March 30, 2011",FALSE,FALSE,,8497
91,YuWehaNMA1Rj4Qg,262,"Friday, August 12, 2005","Friday, April 27, 2018",TRUE,TRUE,,2838
92,sJSKX944nOJyi3S,268,"Monday, November 8, 2004","Thursday, November 16, 2017",FALSE,FALSE,,3659
93,abzws6tcJzQ4Cn1,114,"Sunday, January 25, 2004","Friday, November 16, 2007",TRUE,TRUE,,5219
94,Jjz5b7mOA6iEI4R,126,"Thursday, May 9, 2002","Wednesday, January 23, 2019",TRUE,TRUE,,4023
95,OdfrGENYWjW4gs2,197,"Monday, March 8, 2004","Thursday, October 21, 2010",FALSE,FALSE,,631
96,r7KZaZUfUMdHg31,100,"Saturday, April 10, 2004","Tuesday, April 9, 2013",FALSE,FALSE,,4599
97,TrjAStHuvZHC85K,11,"Saturday, August 3, 2002","Tuesday, September 24, 2013",TRUE,TRUE,,3692
98,mtAzb1Q8DGrufCd,104,"Tuesday, May 21, 2002","Wednesday, August 25, 2010",TRUE,TRUE,,3559
99,GnKwyLivBq9H4Ui,256,"Friday, July 21, 2000","Friday, August 20, 2010",TRUE,TRUE,,2994
100,KXpEq4306UNGMO5,45,"Saturday, January 21, 2006","Wednesday, December 16, 2009",FALSE,FALSE,,9015
101,OwBrlMdHtnx2rVv,32,"Sunday, October 28, 2001","Wednesday, February 10, 2016",TRUE,TRUE,,7055
102,Saxjzs6uLcI1IUH,222,"Monday, February 13, 2006","Monday, May 10, 2010",TRUE,TRUE,,178
103,7dbkJWEIYSwpi34,255,"Friday, December 29, 2000","Wednesday, February 3, 2010",TRUE,TRUE,,7504
104,uYGuDBRMM1PfKCG,18,"Sunday, July 11, 2004","Monday, December 17, 2007",FALSE,FALSE,,9786
105,HvQ8Iyzj9Y88XUR,150,"Saturday, December 28, 2002","Sunday, April 24, 2011",FALSE,FALSE,,5781
106,gYlggTyad5QBODD,126,"Saturday, October 29, 2005","Saturday, February 23, 2008",FALSE,FALSE,,5747
107,kFhA6JQdYmZNCcF,47,"Thursday, June 26, 2003","Sunday, November 11, 2012",FALSE,FALSE,,2990
108,Yx0oeK90q5ORZhv,296,"Sunday, June 8, 2003","Friday, August 7, 2009",FALSE,FALSE,,217
109,ga9uWWwivhVaz4b,127,"Monday, May 20, 2002","Wednesday, October 4, 2017",FALSE,FALSE,,1555
110,5Y0VCeGSq7t9GTj,133,"Thursday, June 10, 2004","Thursday, December 19, 2013",TRUE,TRUE,,7702
111,ziKrFYDVsb86NsC,76,"Monday, December 4, 2000","Friday, April 20, 2012",TRUE,TRUE,,4652
112,KdXNcNdzHN55llj,205,"Wednesday, January 21, 2004","Saturday, March 23, 2013",FALSE,FALSE,,9432
113,bj7TwjhNR44qHPN,148,"Sunday, October 15, 2000","Wednesday, February 16, 2011",TRUE,TRUE,,9633
114,w1JW4qhaDBnfgUn,117,"Sunday, June 6, 2004","Wednesday, March 21, 2007",FALSE,FALSE,,6058
115,YXazz4BjRArY0XO,110,"Saturday, September 8, 2001","Tuesday, January 1, 2019",FALSE,FALSE,,7830
116,mM1tAPtePfSHkNG,185,"Tuesday, October 18, 2005","Wednesday, March 13, 2019",FALSE,FALSE,,4916
117,uc4EHzmiGNsJzQu,292,"Thursday, July 21, 2005","Tuesday, March 23, 2010",FALSE,FALSE,,5919
118,CUa5tvQacQxzaHp,201,"Tuesday, June 24, 2003","Sunday, September 9, 2012",FALSE,FALSE,,1646
119,GPFeBFmwGEfLnXc,136,"Sunday, July 25, 2004","Sunday, December 21, 2008",TRUE,TRUE,,9232
120,rKztf6V18mfK5aK,56,"Saturday, June 10, 2000","Saturday, December 8, 2012",TRUE,TRUE,,1585
121,tt7mymw3OU5wClI,46,"Sunday, March 10, 2002","Friday, July 2, 2010",FALSE,FALSE,,407
122,GJaAxwCRxwNYOJ9,220,"Tuesday, November 13, 2001","Thursday, January 19, 2012",TRUE,TRUE,,2683
123,IQWlp5vH1rcV2ah,267,"Saturday, February 15, 2003","Monday, April 25, 2016",TRUE,TRUE,,7310
124,9G1lWGbf9ogpqI1,131,"Monday, October 15, 2001","Friday, September 23, 2011",FALSE,FALSE,,5036
125,4u39QCvmYpy4fek,8,"Monday, March 21, 2005","Sunday, October 25, 2009",TRUE,TRUE,,8088
126,etCNzk0TQbWhgtl,228,"Sunday, June 25, 2000","Tuesday, June 25, 2013",FALSE,FALSE,,8538
127,hgdgHGm6evTsZiE,292,"Tuesday, October 7, 2003","Wednesday, December 26, 2012",FALSE,FALSE,,17
128,Kgo47t0LrSEWxIV,224,"Wednesday, October 8, 2003","Sunday, September 16, 2007",TRUE,TRUE,,5286
129,5f0nBNWSP7k7BgB,142,"Wednesday, May 7, 2003","Wednesday, July 9, 2014",FALSE,FALSE,,2504
130,2RL2NgwQ0CO9iqE,211,"Saturday, July 22, 2000","Tuesday, August 9, 2016",TRUE,TRUE,,6693
131,f6dXcHYJJI6LZCa,238,"Friday, April 23, 2004","Saturday, December 15, 2012",TRUE,TRUE,,3490
132,hQ45rTvOErjT2X5,253,"Friday, March 25, 2005","Sunday, May 19, 2013",FALSE,FALSE,,3809
133,FXBJUh6RF40dNbz,52,"Sunday, November 13, 2005","Monday, November 19, 2012",FALSE,FALSE,,6354
134,nicDw3wJ7l6uFtK,192,"Monday, May 29, 2000","Monday, August 15, 2011",FALSE,FALSE,,5175
135,jSK4eSicMr8dOTA,21,"Wednesday, January 30, 2002","Saturday, March 17, 2012",TRUE,TRUE,,8400
136,bAVejAluFNllPdT,115,"Tuesday, December 18, 2001","Thursday, March 12, 2009",FALSE,FALSE,,5726
137,DWH0hrp9rDRM7nq,115,"Thursday, July 15, 2004","Sunday, September 16, 2012",FALSE,FALSE,,4284
138,H8l9Cmg3dgne4if,280,"Monday, November 3, 2003","Tuesday, April 14, 2009",TRUE,TRUE,,8272
139,bqYCh8kjVasEAoa,230,"Monday, January 7, 2002","Sunday, December 3, 2017",TRUE,TRUE,,8906
140,0fWfUwtQLl6H05h,16,"Wednesday, August 17, 2005","Thursday, June 29, 2017",TRUE,TRUE,,3523
141,10IR4mGyjrdNEAn,298,"Wednesday, January 19, 2005","Saturday, December 13, 2014",TRUE,TRUE,,8115
142,8PbxmPlXPc6k8R9,251,"Friday, January 18, 2002","Saturday, March 11, 2017",TRUE,TRUE,,5774
143,Cw1elZSjS5WpA7b,256,"Monday, March 7, 2005","Tuesday, February 7, 2012",FALSE,FALSE,,699
144,UKTeKIr6Ajcu3nC,194,"Wednesday, March 29, 2000","Sunday, April 19, 2009",TRUE,TRUE,,4251
145,9B9yXMPx0RP8EIw,196,"Sunday, June 27, 2004","Thursday, May 22, 2008",FALSE,FALSE,,2347
146,YKKadC0gRKHsImW,64,"Tuesday, November 22, 2005","Tuesday, March 17, 2015",TRUE,TRUE,,5797
147,cR5xHD0dv8CFXXO,119,"Thursday, November 14, 2002","Thursday, July 12, 2018",TRUE,TRUE,,2565
148,J3ysXdljcBu4tKG,82,"Thursday, July 26, 2001","Saturday, September 6, 2008",FALSE,FALSE,,9249
149,NIk5B134B8JCvYf,129,"Monday, March 31, 2003","Monday, December 24, 2012",FALSE,FALSE,,2741
150,sOuqoiOqTJUBnaJ,255,"Saturday, February 25, 2006","Tuesday, January 19, 2010",TRUE,TRUE,,2631
151,mpTn4ffthTnJNXZ,275,"Wednesday, April 3, 2002","Saturday, December 24, 2011",FALSE,FALSE,,6583
152,eAa3JOQmxC34DYo,248,"Tuesday, December 25, 2001","Saturday, August 15, 2015",FALSE,FALSE,,2434
153,3Bs6euKG9aeEzYE,113,"Friday, April 18, 2003","Monday, April 9, 2007",TRUE,TRUE,,438
154,GvYr6rpn0PMhqSS,220,"Monday, December 20, 2004","Sunday, March 6, 2016",TRUE,TRUE,,1582
155,LV9SCl9IkY8wZDs,246,"Thursday, October 31, 2002","Saturday, April 1, 2017",FALSE,FALSE,,4613
156,MOEalnEWjuWpVyo,65,"Sunday, August 4, 2002","Saturday, September 15, 2018",FALSE,FALSE,,6863
157,SdiJSVN7gzW5s8v,273,"Sunday, September 1, 2002","Monday, December 1, 2008",TRUE,TRUE,,5901
158,btOtyzOzFSKfMQZ,44,"Monday, July 5, 2004","Sunday, September 19, 2010",FALSE,FALSE,,1357
159,hhr2MMSEf1m8NsA,43,"Tuesday, October 3, 2000","Sunday, January 15, 2012",TRUE,TRUE,,1249
160,aRMMWulGUQRg63F,261,"Friday, October 25, 2002","Thursday, March 5, 2009",FALSE,FALSE,,9440
161,MEbg9U7ypw5F1JH,2,"Saturday, June 4, 2005","Monday, August 18, 2014",FALSE,FALSE,,826
162,7gKGD4LNDJqKjU6,101,"Thursday, May 27, 2004","Tuesday, July 5, 2016",FALSE,FALSE,,727
163,RmoQgCU1xBxwsm1,223,"Friday, June 3, 2005","Saturday, March 25, 2017",TRUE,TRUE,,8493
164,42mZ7Y81TvSg7hH,106,"Thursday, January 10, 2002","Tuesday, October 29, 2013",FALSE,FALSE,,5783
165,3vi179EI2lKrb0n,247,"Friday, August 26, 2005","Sunday, October 18, 2009",FALSE,FALSE,,2612
166,ggOXz5OX9DmaAWv,66,"Saturday, July 13, 2002","Wednesday, December 24, 2014",FALSE,FALSE,,9681
167,nkxqM8epwaczuDq,280,"Wednesday, February 27, 2002","Wednesday, November 16, 2011",FALSE,FALSE,,2785
168,z0V5apljELVbqwE,38,"Wednesday, September 22, 2004","Sunday, October 30, 2011",TRUE,TRUE,,73
169,TZHn4thrVXIIuVu,253,"Wednesday, September 19, 2001","Thursday, February 28, 2013",TRUE,TRUE,,5887
170,nqGv7LzH4HQe6Kc,241,"Thursday, August 5, 2004","Friday, December 28, 2018",TRUE,TRUE,,9624
171,I8I3gptYtRDa5XM,93,"Friday, April 28, 2000","Wednesday, June 8, 2011",FALSE,FALSE,,9535
172,vTQx4mx5SzNqOYb,157,"Thursday, October 5, 2000","Wednesday, September 7, 2011",TRUE,TRUE,,5737
173,7KoqHycsVuWckzp,78,"Monday, February 24, 2003","Thursday, September 11, 2014",TRUE,TRUE,,9682
174,PHnBK6VDL7bIPLA,227,"Tuesday, December 6, 2005","Saturday, November 17, 2007",FALSE,FALSE,,9459
175,2LYN9Kt2r1qyrLy,4,"Wednesday, August 7, 2002","Monday, September 8, 2008",FALSE,FALSE,,9461
176,p4yr4uua2Rv7zLx,213,"Wednesday, September 26, 2001","Friday, June 8, 2018",FALSE,FALSE,,3437
177,oFe9Ant0AUP5KwG,279,"Monday, July 22, 2002","Saturday, October 13, 2007",TRUE,TRUE,,5834
178,1qHNRZN8nQpPb1o,7,"Monday, November 6, 2000","Monday, August 8, 2016",TRUE,TRUE,,4441
179,haywBF1adJ6mns4,11,"Sunday, November 6, 2005","Monday, April 20, 2015",FALSE,FALSE,,8997
180,6tXhtw54yu9ZMmK,241,"Monday, March 7, 2005","Sunday, January 22, 2012",FALSE,FALSE,,6487
181,ziOvsjcjvEVe3uX,5,"Friday, May 21, 2004","Monday, September 29, 2014",TRUE,TRUE,,2259
182,09PgmcmbB3OqIGK,159,"Thursday, March 3, 2005","Wednesday, December 29, 2010",TRUE,TRUE,,9471
183,rpJA2Fm3I2kMCIm,222,"Friday, June 30, 2000","Wednesday, January 26, 2011",FALSE,FALSE,,9564
184,xTXgT3w4z4xcaIx,180,"Monday, December 13, 2004","Wednesday, February 9, 2011",FALSE,FALSE,,7901
185,QFWMXJ7VlFvOWy9,241,"Tuesday, December 4, 2001","Friday, July 2, 2010",FALSE,FALSE,,7747
186,gheNEABdbDyascv,252,"Thursday, November 16, 2000","Monday, July 4, 2011",TRUE,TRUE,,2729
187,CjDFynWTo0lcHgE,226,"Thursday, October 14, 2004","Thursday, October 13, 2011",FALSE,FALSE,,7700
188,JxoBLGVQbCa7XnZ,134,"Thursday, November 2, 2000","Wednesday, September 28, 2011",TRUE,TRUE,,4734
189,kfbDYczlGo0rSdu,78,"Thursday, May 24, 2001","Thursday, October 6, 2016",TRUE,TRUE,,7696
190,QgISlKeqtkl3MCk,179,"Friday, April 19, 2002","Thursday, February 11, 2016",FALSE,FALSE,,9219
191,KSyUdMMGUH5qTed,108,"Tuesday, April 25, 2000","Sunday, July 10, 2011",TRUE,TRUE,,1611
192,bGTw9c6QXa1pWQY,117,"Thursday, December 9, 2004","Saturday, January 27, 2018",FALSE,FALSE,,1470
193,sQrshKo4QCF3TUp,294,"Friday, September 6, 2002","Thursday, May 14, 2015",TRUE,TRUE,,1804
194,jHsPJYUxjQLPi0P,64,"Saturday, October 2, 2004","Wednesday, January 30, 2013",TRUE,TRUE,,5917
195,eHs4gD8M78D6pHn,231,"Wednesday, October 25, 2000","Saturday, December 12, 2015",TRUE,TRUE,,3371
196,4jEMQFkdjpQl2DN,66,"Saturday, July 8, 2000","Thursday, July 1, 2010",FALSE,FALSE,,8706
197,Xtdw6mC3gld39q3,141,"Thursday, December 26, 2002","Wednesday, February 11, 2009",TRUE,TRUE,,7897
198,pQNmHyleq2WGqnC,68,"Tuesday, June 8, 2004","Friday, December 24, 2010",FALSE,FALSE,,2459
199,yAgNWKClgQWzRYw,263,"Saturday, August 31, 2002","Wednesday, June 29, 2011",FALSE,FALSE,,1881
200,b0OH6lVP3TxEQUs,92,"Saturday, March 8, 2003","Saturday, January 7, 2012",TRUE,TRUE,,4476
201,3uGaWBjGE4Tyejo,5,"Saturday, August 2, 2003","Monday, October 3, 2016",FALSE,FALSE,,9904
202,1lEutB2jQC1PzgR,70,"Monday, January 2, 2006","Thursday, February 21, 2013",TRUE,TRUE,,9777
203,zC2pDuvAMfaeWU2,129,"Friday, August 3, 2001","Tuesday, May 24, 2016",TRUE,TRUE,,7100
204,z6jqt0AWF49A4MR,26,"Friday, July 27, 2001","Monday, February 8, 2016",TRUE,TRUE,,3681
205,QxD43FJD4OyMUdp,122,"Saturday, December 9, 2000","Sunday, March 25, 2012",TRUE,TRUE,,1698
206,hH17AMFCrdC7cMy,248,"Wednesday, November 2, 2005","Wednesday, October 4, 2017",TRUE,TRUE,,2712
207,mVani5wxLV7SG4B,216,"Saturday, March 3, 2001","Tuesday, July 10, 2012",TRUE,TRUE,,4153
208,dVCwzn8gfY1oZJh,77,"Sunday, February 18, 2001","Friday, July 26, 2013",TRUE,TRUE,,3508
209,sQJsA6RyiFkuBVs,294,"Tuesday, October 19, 2004","Monday, December 10, 2007",TRUE,TRUE,,6509
210,RZNuhnQFBHXzyec,173,"Sunday, March 20, 2005","Friday, March 22, 2013",TRUE,TRUE,,163
211,vOjwq7wqVshEDBb,95,"Saturday, February 14, 2004","Saturday, December 6, 2008",TRUE,TRUE,,6617
212,N4af1JeE2wZrTUK,178,"Monday, January 29, 2001","Sunday, March 24, 2013",FALSE,FALSE,,5898
213,0IqxtxHfLcDWLdj,11,"Saturday, February 25, 2006","Sunday, August 3, 2014",FALSE,FALSE,,8147
214,9eVIFbEx1BAyRJ8,88,"Wednesday, May 2, 2001","Sunday, January 3, 2010",FALSE,FALSE,,5333
215,flkjBfemCtSvWGB,291,"Wednesday, June 25, 2003","Wednesday, October 7, 2009",FALSE,FALSE,,7109
216,aNw6fBfJQk0eOzg,157,"Friday, May 25, 2001","Sunday, June 30, 2013",FALSE,FALSE,,3854
217,qohmpwjUzlRrpgr,236,"Saturday, November 15, 2003","Wednesday, January 9, 2013",FALSE,FALSE,,1903
218,AdmjNlL6yzX8gkx,81,"Friday, February 2, 2001","Thursday, February 2, 2017",TRUE,TRUE,,1678
219,4sfooWKljoT7vmA,33,"Tuesday, September 7, 2004","Wednesday, December 7, 2016",FALSE,FALSE,,3355
220,U6PrNdv4pT2pRJd,66,"Friday, May 31, 2002","Sunday, November 28, 2010",FALSE,FALSE,,5602
221,EqAXFyMwtTa43WL,162,"Sunday, July 2, 2000","Sunday, June 3, 2012",FALSE,FALSE,,6747
222,bJkPl6KAjJxvgke,202,"Sunday, June 26, 2005","Thursday, October 14, 2010",FALSE,FALSE,,5485
223,PScGql8wRopmhHX,78,"Friday, August 5, 2005","Sunday, July 3, 2016",TRUE,TRUE,,9409
224,i41Ly8izSVor43h,246,"Sunday, January 22, 2006","Wednesday, October 17, 2007",FALSE,FALSE,,2036
225,YJXWKswnoIrGldq,33,"Friday, December 10, 2004","Wednesday, October 30, 2013",FALSE,FALSE,,6875
226,xSj9YMdZYZyLcIn,262,"Saturday, July 22, 2000","Friday, October 2, 2015",TRUE,TRUE,,4805
227,PGouOYsrxXaMoP5,66,"Wednesday, May 12, 2004","Sunday, April 15, 2018",FALSE,FALSE,,567
228,euqz0ZgTRJGzpJA,33,"Friday, January 10, 2003","Saturday, March 7, 2015",FALSE,FALSE,,3507
229,AKrYw49f4uoC277,269,"Saturday, July 9, 2005","Monday, November 28, 2011",TRUE,TRUE,,5301
230,bqV6KEu1MzOy4eO,33,"Thursday, January 17, 2002","Tuesday, January 29, 2008",FALSE,FALSE,,8566
