ID,issue_description,inventory_item,inventory_revision
22,4nuPpSMnyKzu1pLNcjau0DzX8mLzLPVeqZbYZvc9DoHh5NaI4uGEVnf0yWQCHWbizUEcOxyrGbqL5ScvMC5bJQIC3kkCea1rNirkJ84H6Y836T4g3f0Fb9ZiMBioMvNqk98Xk2mOHxfuSPFjpEI8kwQNJJYHZQ4KLRT7Vh6B3l7nepP6588ImOFxsuOaeey13UjB6HOH,1315,1280
23,F8znsd3bMaRvh6LfPkTfgZwFtJFOAxu0AfJH8FBugDRYkHxmza2oymlqLt3jYpbYqavCxEhJij8dHYfmWcZj5GCX3c5PMcW1l2rJWvzu3sFPoIjxNRN5P1dkYXIUJS7FNG1OqWQknoqMAwtv3IB4PaltZHu8mellvAChQUG1BmRlLRjmoXaAQCzwfHzilR8ICEaAuMej,219,1521
24,3nI9iHiIUPDlUsKPCJfhPtoJjG0j2b219HJMnfjrAd7sEbuszeKVEd3K89abQ8Q2WMlNj7mhjxhwv5EIWIuXRhxgO9NoEHbCNFW2zgJ12mvR6HYD4SEIO2kyYF8jt7ccVeiqiMSz92fowgkHlKtwDTyVeheuhjI4KT5bires9OIWW5C1f18jOqYCqNMBsiRatleclIi3,6704,249
25,wyKb8iemPqkiqe42uUfdAb6smvbkQWTF4M3j2OOngFSlzL5AhsYNYLBV2czNG4V3WfodkVAfG174IU2azbCh7FqsLirZZBhluZPUhbZMs2HhOGMhjZXp2y5Qy6SCnkGEUWKtFh3YCzyE8JdEWJ0Ao1t5e8gkJWiIwDM26ccCf9nC90SocNqduGacmOOHBSOpRqS46lH3,7082,8068
26,epOr6op1I5qEYpnuPsOUAMu7vShXs0Fxv6luO5RkbKKS9MSmRMWZpXxR4Q6oGRJR03TcD2fTan30Cb8iA4FfeqHYIUz89neJB2cG30iZqC8Bd6OdRXnLMnxJv4TtChUxJuzK82pJWqzbrG5LFWqm9S7XESU9gzWIsL2tHEeZrdzfyVcp8Hop1rx0wbFphqnhTqtfNLEA,8746,2781
27,4fdbjs0pAZKqRAXB6p8y1A0SMIm6bwDnxkxRXV2Xz1qNWmYtIMPYCDZ3oKPaG3ONWh3rNFnlwl99Un6jt3yPhoktK3mMFbQ5nc0ytrfCinlaEajBOqrMF8qs6JgTcafVUDV1wI0BXvr3CJpuTl8ZuDzowI1jLMjHHQGBEsPG0pzURwqwewA1cGkQNrEnQQ0LLjvvDoql,3565,8722
28,jEOfWAcEFZLspBqzxWnlzjzoIsA4tzFYfkhgCrUELMKb9d4uFO0T7uC9PkXo9hVQTwNEeKxGCjanZYopxQzf9wbuihRbTqEn04IMPzP5buQYUYj05s0ts0QgVcg62VwWexwfQbZ8A4EPfDaJ7aglzV4Anl0xSTCF743hlEkeS1sxwBASCX9czKgJ2w1okmqr28RkJ3i3,8298,317
29,T7mHOmkiu5UjQxYtpzM63qLB5xtaIJzFnx1igvhPDC1uXSreMaNsr3InvlLa3KZlGO6d5zN4S720ybnnGONs5GYtoOw4jGV3nQoJVNjXMTauASzU8iUo6qp90MzrCSULl8NhweR3p0flpotVZc6Bwr66loTJY2U39OJCFRidQa9GKETLddRkWSZ3CQ6HLIexfmmafrQH,9000,4553
30,uVrzvgVHp5kuhqzP9yVaSI6Mlic2qwMJq4iDMMfZwEcjMvE5lQrcwdJlZfOMEca3saDmIwCxT6oOqW90egRaFuXNu6oq7SUTnj1wrbwzN3Izy55CgYsiKAy8C02MHWzBlUlHfNICucNLlhYzAlKjjwImu2t1jkr0DHOdUyhTPqysxmWfbCMgMQbzL8WmdQcKvWHdT5fM,592,8519
31,T27azHfOahXLoxqYSVb5z9No7af3LfhAcV7i1vJOGP05wjsUx4nKuIBUoTdYmmC49XsSzHggMNykIS1XsKFQ2XPUUn3hSvldM55Y1aeqYG7hTbLWbFpchwBmIY7MN8OalVXMWdgSpZ2wZsA3bhGMFJ6Z3SQccScZ1h58D898jXwI4PNZXEuq2CVbZ7SDND0X6d42wCzc,5394,1298
32,mrWxfoF0FXhwgyLdiFp6ughZMaUVnUPSIuanFlbo8W7czJ6FqSdtwlXFK6lEUtNuIPovYiY7nB7YiEjDdOpU0ffhXUcIAWTOJNUkfLrI3gFvn8hFWilGE24nuGXEFP7RrtPVu9iShhaUZt3ZwXvbvNJQSr0YxmCojyD4tLUX9SihbjNAN8Rreffej8CDJJe4ewvkq8pl,434,3963
33,bdomztdzLyUVJDTjVvIRN0xoDoynTOTqpFDBz7JTkT8qjJnrQHn4cvKlpAiK40g6fopEARuYlzq41HE4BHWMkZN34bWyY9ZtxBK5dir9XPSnEQui6oIxeTWGawJi559mZ6Gz6IacZWzVGkyory2t0mPdpEeqZJEbPpNHJ5lxNpXHdB907f1HDPwxrmJ1nuDQSXFbWqev,2028,811
34,gLPH9oFot4R6Y93aahvtJdmGyG5hdRAF48tkijmfw9BI8V9Gh6Q7Ac5DiIS3thLb3MCaPS104Q7KcdHdGyAgBDFbCqCZRtvOxjPwTi0OFZCtfukFAzw4hpazHkXjQbjLesW3NVJi8vblAV5RF6Zb61rIIaotKR8n01PxXr1pqO6vNzywoGeTCHOnAOuxqaXrwxuJGH3X,823,7386
35,vr454Tl2EExolsnlxJ7D8P1P9aEpphMGOSWhsETaMxWT4IMCfeUuaBvf0p6eP5Mh1qZSWF2tzg1K3iV0NCJLMcpNh0qDHzLQlzbNs3pZml44JklSUFQNwBUZBMvgZzlAUkjEHHIUWtilivD7OYtCi8ejfBMfIJAxA3jiAhLM760Cds1PIxRAFjcVGAjF5nLNtvloMe6r,2206,5256
36,EmIcGwK6WU1ArabNc97FRUumTrGMDo1kwje0Nn4w58Q1WsEKN8B6tIPu1gJYq73sdRNH6lAyFKKSD3Pkn59Fm40oTt8refG7FhXFf6Nl7N1j76r8Qjvu7yGjaiyNmTUjDMNggKEqrXHZDRqXCAa5uW9Qbxo6IA9o2RfvtLcFeECkrrgJ2aLm2ZzrM6EsfIirYcgvw5o1,5520,3445
37,apUZjuRfEryWvdbxiwGtjVfULOKuX6wUEh8JXxXTaAE12CqCT8X1uyvEJ9OUjgII4eSOfSavYwTjRobJhIbYj4jPv3AYiCu4166YtcgBhld7fMxehExbFtiA4CdmRCMWCYrVsDZFlZ07blujGf0ePTyHX6dr84tfZG5Gebwdorzq2liTR3gwLsGtkj8wksGrpVhUqoFo,7304,3748
38,zhdIPvXKaFY7UrALg4c936kIAhDNmny1Dy2iPbUNYaSBSsB0UfHKMte37VIrrKhwQh4fyb5EjPlcojzSgN2GfnpTU9l4TnfN2fuvyfB3kDl6IBOYgzKeSbRn2kLzzAv6tXkJyDeBL9gcCsKSuNYdcA5bOH3NTMDjRoMvbFjdVJTT4ykJZ3EmmRetbJ4rJQs957KXfZ1p,6457,9202
39,HSrmgZguxZHb69KdUSK2TEbUX7nMnACZ8rJLBymfKZdS2eBLNCEifvlD1XOivTGwXrcOz9bfppr4lJc36c9l5d4MGGUokDt0Sq4KBwVNkj20Ercr4VmTUe14xQItpx5l50l4PS1JGvBWkDHYomtObZgyzAWvomixoQ4NGhcmddMideTtItEDDqKfUxFO5GeeNNsTJ4SH,1555,1135
40,u8N7UUrnn5ift7GY3TbOrX8sVPw9kNb6366MSXcuhRcj6reuNuB8p5ZX9emEhrDZdlmxB3Ff0rqZ4YwnvCvzMcR7hiNyuYMzODFUFqtUpfI8P9cks8Sf5OMBToQcqRuce0K1SbhESbKrUTshGmGwFr3A0EBbaQnXupeYykSQaNMeDfqA5sVEL8Wx7KBOaGoByw6oyUsg,3219,8337
41,V2eZ6UXAgr5jLvTqaojDzUjKpRjCLkAzuVmdShNq0ak6GPkKUH3D6Q9ASTtpvVy5qFy0JzY2b2NZunEaqYrDr72eVlL9yh5eloPAauBetAlECkQpPS9XouOtNUehoYE37txFXDA5WMUqVybvVfufih01afxGQe0V6sGTwKSLSDBbahYY2sLJojUZ26p1P3p1W8unrI9K,2181,5617
42,MfgYa2HZOhTqqXXrazfa5ZXJEbxvqtsA5FWz2efwt0pHipSWPArJpxmxHXT9FWsezSvlBhz6TtqFuQkZJafqBjVIcireKgrXIKSP4qVsKv06GhD1w4zo1BcP7mIc0UvxBT7j7VecExfQtYB5ezsPqDfGrCSRi3109C4xkd4bZXjEfMgjkN7AmfG8x014CN4L5pQqdOUB,9270,2712
43,0TdbkfftqU51Od66Atm9YMdXI050FW26EVpweVQWZTgjPDawthOlY61n0GSukonTc9w3xJbodQjFp3IEZIHiIQhIdC6YCgwupMHQRh9jFjIIWw768NUbhFLLbnZvNDm6ezZcv1x2JhdjIZwqE9ZyMUMkB6yoHNVB6LogWfKGabR9llDC0tqNnxuJmzbzCJv5Mbm6uQTj,8238,3138
44,YuCN8Z3wxYgIXIbf3hDVDRqWxJ9GSkZHYUZAGZ0B5QWXZDEefPWwfdPGEqZyaweM8ZtDsaYdqCZw4S6tFelCOmm4ET5ZAClJwKY9UAvE02FdEdLvtps5Lb7Wxy8Zf8dobP9u46ZEthLWgI0lHKpUTp8VMCMfCVi2YbCydb0wPnLnPlzo8XSVSIUvRoh2u4CY8T7FGBIq,3098,8857
45,EpdUFlMigoDNjQGQgy38CVlxp6oti6PmCaEpR7i6pLXYVuuq8zeTwU0tEppJ6cAjZaLJMb8jP6S07Mc4M7vsb5zrjUkmSZ9MLx84jleg05D0C9v1Mu79rRHdlej10WQ06FpKNiVlcO1g28okjtZicAf3pfSEBnqeoN36TlnoYVgcallmz8RH7sX6kvesPRjziX1oErQ8,946,7540
46,JGdCdE3qODVig507WiG5ZHwr3Ct7hHrTBMjQdhSZyjCgd906yHVs1KVBUvIaU6IGVBhUVjdzQrGzFPO4MxJaw9c00i5rY1F1a5LbcgkOngcKEf6EhOOgxsUVjqdxnwaYlOZJEwbqN5wPgRwVl1KJmjErlz1wCwk1FDjzGxAvxiS25EyR4IMwlQvBKriP4pnbU5Jds6Oy,8591,4070
47,WEQLvgAk14jxPzRhpYOv0I50hA4Vj83Y5M4rv85BOUxs1hpULLQzjGiNJZovlpA3BL2D4kwrdNggUM9AVkJXrDyzoriVUKajT4rqomalZiWWjB36anZBfnL7WDZNBaXSx6NafTVtJh7JqcPmxl4quYEpsuTlNNj8KEimycbHRq17pCQ4ywZagqhY2hrv9ug6788m3mxU,1564,7880
48,ZEgGAqdYxayJcegKtRvqHhK5AqEnAL9EQtRd2whBRl6FIygeGt2gjdp24kGTmzXlbt2sMDS7utYgkExLKjhRTdexEZiRqNZcNVoY5xRDb5v0EIRzx4ICSGS8OEoweBQgU6TPaZPWRezXrot6HtdwEXJGCpJ1JfiaoPfHyCYYowuyQ4RjVsovheb6wMMvPYNw5ZtcJlHF,3296,902
49,HSmVzHYjga0x3KxiUl0nIPi721LzatljabWIUbXEWp2x6IgjokRfOq61upd85jJwzQWbxpO3OvRdXvBtUmK0cFVueeYo7YJwgF7pwFv8VXQdZde9ntnTYSUu5m6SRk5zme6RxW7P1LfEy1UBAYBOvzYOvNtKIcrvcb14hMLRvXcMwP5ER5R2irEwGsfknxGYeumXAady,2198,7458
50,cXXLbgRp2NLzMuWEyyqkn8QEsCmiD1bdoyOrZ4R9T843Noh1A5lpHmGeGTcY3slBwrLXfpp3hqRpDX1EeviIPvWBsukGb2GkX2GfcJVUQrHaUaasbY3IKcwAUJpvEjbokrSKQVlVZN1ho5qRT1oD98Z4GGKTekQrPc0nHQcGxit7lOWZdYbN4YplSYEKKS0y7KRLFDJD,4145,5515
51,QaPbS2uv0GICw1xOUtLR5fr4Ab6KTZOYxWIPW1FMaZbuq4XaY0ta1ImusVa15jba1uPati2cn91gD7NGDgvdqygptXgAbOQ07B36o6q07Qw1QGrvHTxZx8uDNkqWB1BZsAjCERbGz5faBoYnpu3Ha1C8QzsEQUyGOXJPhprz1qj2dTBiLDqR84818kvOiX0eGZLnfIGA,412,596
52,PtRJe6xK3NohHUZRR63dRe0FwEIXCC6pP4oOjyFyaYdnzjR1OO1KHjwu3MXayaH0Q9RNpKsc0ED3BNPMxQJyLwipI4UWap9AQmW0RELDfYTCg3tq6LnhQSpeblEvzVCLECmY0Z4sFFTwcfJOKoaPBct762Zp9ZOKWI8dRUzhQ4cL93B6czkL5xJmTob8APsq1IaUgq70,8249,8804
53,8GAi8D0dNJyCPj9VKm31hBLvT1drZv1uVCyCmuqXHhBj1y31UKgV68V74OPGkJDcRDrMu6tZ6ftA9m4e7mWOOgxXr1HYfjx7djRyHqGYbGZbOU7SUuJ8xzNvPTf3zV4WrvgaVGXRf8wIHWIW4zDuayKnVfiyLMiFLCtdyg6NW2czCFn3KI9ARJ63k3F0hjFTZr6FmpiX,8901,8407
54,YiWVlQ1onCNiyBF024aFpxwJZVIiQeklGbvYgPRz835CF134Awwn6xKkvM5PHTYJclbWQqTmmlHw1uDicNier6oTRKmUUCroewjeZgoTcKAVpXsBJXx3v3bg6HFFD9Sk3cRFKjI5jOCh5Tn3blK6Oy3lVDhSbjQc1abNFn1kO1Uh13kndLncyWVFiquGB0e98jqf2ayy,7435,5923
55,rXeWubc4yP6xneEVoZ3uiYXUiRMEuDWysOo8lM6SoGBODK6LbgwZ59BT9JxcOYJv3HFZ0FtbdkGcWIRYVBmOR73sMV8cZdDP6QV6EgVWwU6U3j612YHNv5d5NXMfGRC9g0fGxVTyqQb6BiynYHjAVzeAwasrUzQeR6yDD0EhFTheeh3oijG8rCoqWeTWmme0A6pFuvji,531,454
56,5CS9gPgDIusRxORHqigr4czreh1x4wAi5pHlYW8D0jetItJbxmEABWIcMkf9YsJVtKVHGqtUkd1V8FivXaARs9gjgpYx18pHZI98XBUH3uZieweHBtl7s2ntnwlbR5cmyt50FkXVG2X7k8EtKRwHWrYheQUla208Rxuv1oBbVQ1zeqJpr1R9JUPGUXVzPw5NCYpwNT2g,2518,3396
57,vGzjDyGp4jl0z7inadSMLjUnxFAXbY8uuyiIRvUhtk2VmLjsOj2ZNDJMvLv7xsOfl0GBYZWoIvckr9BlgSJ1fihqoWXFAXuAWWuwEhTyNNQckjewKJbejWACTZXCCQovBcOUOOh88UoRSEGF1l406Pb9WsdoKRw6jfbIUJh6mcfOssuOTRKbVyzvAP8gv2xrhrswn8ur,595,9822
58,OdtMRn8OV2HVkuqpHFLAKupyqB97lVhcXWjVCy8Vigg4kMG7F71pgCxdx5fPnAnAVo8NLUnTHzcoNuNe4B2nd16UiFiGSsrh2gi6O2wvUiiqjJQCrBVlIAgdrnoFwgAZI5vrMRQBPHS5TPuZzfZRWFY29EOkNr8xhIioXi0ZuTWBrkKc2PPRHtCCg3sHDqyhIfYKqGBR,6498,9872
59,gDtXLY4wr8crqxGfHeztWEfy3MM9vwN7mIN8TJrTMR8zFaykDK8hc4mci4e9M4A4veEhkIM8wfgFFptcXl5kypfsfuaZosHSQDEkWRA589v6XgW2KCmk8ZGF9WCzrwUDYOzBlIGFlAmy4jU9YhOmGgT068kAPKOLprhJrUQC6g98xSLaBCbJir7148FnhF0bvaJMBLRD,2790,1961
60,qkhVDoxK8MsEn7uqOtPne0piMWJ8Z0vY2WAXTj4a0XHotrxLcU7ixnr049IqfyvIbTMQ6XWoyzxHsAzfj7fE2MlOoKcUbO5Bm9NZfgOF8St80kI4KnGhTqPOs7lw4BNk4wftxZACsZGjdnYECiKxHXr5u9rh4cK6FIDEFYHunEy3kpuFjhuW1ZdhEj9xsdHQPJeUjT8n,4316,4197
61,KDiyUEOm7XsyEqpg9fZTCK6ioaLafPiG5bOa8QP4jGfuiaEypCUcNHXAGAK33yGryl2nbOitQfu5oL9NWWud5F2yDOT8GVAuAy66ibXaelMsWbW5A6hgDmwssDkM5jn5e950PDo49U9U3Kbl2Y8JxdqXCNNf1Kf47QNXffp7Sngtnbyhl8UhkdIASiyBzJDzyEWn7EFW,7163,241
62,1K76ukZq32z8TeIME7roHIjr4iFLkh27yjm8DVyOmJPK90u2fu9IpD3skPBLeNFWA2Ju1KJsJdC82YrExNq0huSup4XxTmtYD3KHrABUlR8LB4zMh7YRgPyQjYE7wVYhun59OkWxMVPQvHsvELQWNb2yF4hS5DiP2bbY9087lkFLAhecpT2lFCTSvH4TCE1Ix9YTpUvO,2090,2986
63,umWqxhZFmmL6KzHJn26o4ht6XBJKwVhoYwRq5ETX47bP71yiMgq3SiXN3ZTwXOSQEghXhbNjiiu7Fe9gMk8QpnW0ZExgvg9ppKKaTbBvSGUtyaHZZwkwQBkbKr8dnryCjES4UjNujN7jTnB96YG86MZnktPmdhHlSSJtHNE0jzNCEBHhp8hPlzGWpoUlTlRBGWRAdS1t,3131,2552
64,ZG9Wjils6eA1AcMxDc2dh8iL6ruHEXHx6Va9XTFwAkoxBOVyypOY0zsbhya1xdoiWM5oBMauXFd6TuJsV5TYJs6Gm9bi2O9g6GaySrxlPdBvWwHxosf1KPZnPzCBu11IG79NTUZoIrIprLt01o4KsHVrqwjcpv1Yl2oZw4dTS0tdGt6DGLJF6ra9lSggv69W0uDyhUD7,1808,5974
65,21X2k60fWdmvb4cpxeY6hV1XmWqHgwIM4VyiltsjqQjguFSJW1gjiODgAAPNQs8kVZ0GF4DEwyPRvUmhEgvoPjnqSShldeS8R9LUPMDbybwt8vupXsJu6TUvwKxxXckRgRAwJSS1dU0xw3rhi1NvViB7oZiEZPEW1fNrv7gFaRQmdg92dQPfPz58PCIutNcNPe6QqAwk,3420,1283
66,UERZeHaqlIAiGBkPbszwVNyCW8ksMceoKHf1q0iBTDmTMrX5pajDvjwHPPDfhrdIoVY9gtjkJxcRlf0plpDv3a3lUXlawDemkdp1TXY61837HegtZY41osOOcwoIHIyGTzrH08WNQG45g6e011BYIm81ObZgsPysJwnRwY3aCqlhyTrgSyRPGa7r103YjzeASLvtSMDc,9685,6088
67,VcAaD5t3N48jmty6a6fe0MLkPnh7NFuyReEfqaw7pqlkCsiC5VwH7dvIQaLaXwpIJKRHoTQ9JhzJklhgEfC2Sn0yt5OPPWj2Bdb2bbXlFx7Znlip2oV2ux0gTdYtEAux77IHKpFnHawfpbLIXiXkArIOn4j8CohFCKbqdafNjsvUAU01SPVfnKwQy3ePFGkd2rcf9ep7,526,1533
68,AR5yNSErqwSBc2XK1j6QHdISbT2U2xkYcdKeUApLKYaxK1OkIynFAwBhJnW4atz2M4j8r2003uFtCUHjERMDKfXpcnVqnvvbihlPRQ2P8wMQrRezfwzJgwsqg3gEhJMI9nLet2SyY7FXSH8KIgL15m5wz4sXtxszjERDG9FneBujrVYZ5W6B8VMWsZpyJ4FlOPxO04DJ,4224,5404
69,W42VFegTbX1r0O14UrTQek6IUbhJjATxla9SeWTLS0crthYjW5jVzJDw8tBo6WubDEFaPjZ8XI8nHOYwC8xnb77bXMUvVpP6GBopb8Uxgl8rKZotUOl8jGAGGnCCPonr2ChFktVDoAHz9QR7hkaGDQX9Bhjx5Rh18QyI1iJl3iUi9KHzWEeoNgnloiECJhHWcP0scIG8,4322,8328
70,Nf6yA0atb0x2ocmMdTeGbVa8GuTYXO8fOXSIp0iNmaGRijkYGPoxeTY1E8rPhBWM2SoQJehnuQeBPJZhJ5RHjLA49aDqISqkD3YP4UOmsBCNzXm5iKFmuPnqRuRsa1eck37WuJmzqpZhIxEmyHH7ME0yPr8JCgL0hkn6ZQKZiQ5EzGieqo4TtgPfCJGCLcwKdi9iJINi,9562,7116
