ID,name,quantity,date_from,date_to,scrapped,is_material,note,Branch
221,EqAXFyMwtTa43WL,162,09/06/2003,12/02/2005,FALSE,FALSE,,544604
222,bJkPl6KAjJxvgke,202,04/12/2002,06/06/2011,FALSE,FALSE,,388305
223,PScGql8wRopmhHX,78,27/03/2003,10/10/2005,TRUE,TRUE,,173137
224,i41Ly8izSVor43h,246,07/09/2000,16/03/2016,FALSE,FALSE,,224953
225,YJXWKswnoIrGldq,33,15/05/2003,26/03/2011,FALSE,FALSE,,666409
226,xSj9YMdZYZyLcIn,262,13/11/2000,13/01/2008,TRUE,TRUE,,74479
227,PGouOYsrxXaMoP5,66,20/09/2003,17/04/2010,FALSE,FALSE,,99105
228,euqz0ZgTRJGzpJA,33,11/10/2002,27/03/2011,FALSE,FALSE,,319792
229,AKrYw49f4uoC277,269,20/08/2003,18/10/2005,TRUE,TRUE,,649680
230,bqV6KEu1MzOy4eO,33,16/06/2003,30/05/2010,FALSE,FALSE,,180787
231,vD39O8HooVOnjtp,271,18/02/2001,18/02/2016,FALSE,FALSE,,507255
232,FRoqp19inYB0181,36,28/04/2002,22/03/2004,TRUE,TRUE,,682403
233,34kEOxLBQJrd88e,73,18/09/2000,02/05/2015,FALSE,FALSE,,564726
234,4rs2PVP4Ow6ZeZl,251,21/02/2003,25/01/2014,TRUE,TRUE,,80189
235,XxrFYkMUcTFcJAx,133,03/02/2000,17/06/2004,TRUE,TRUE,,410789
236,Os2F7tYCH2iiyzL,222,10/02/2002,17/03/2013,FALSE,FALSE,,937522
237,EaGH5wQ8RK2TOek,208,08/02/2002,15/06/2009,TRUE,TRUE,,194210
238,ujbNbhI1X3SS4MG,87,09/01/2003,10/07/2009,TRUE,TRUE,,548693
239,7obvzUfFUKMyu0m,224,12/03/2000,14/05/2012,FALSE,FALSE,,827898
240,SNQrX4C5Ze3qFhi,235,10/08/2001,14/04/2014,TRUE,TRUE,,345123
241,795NZbzaxgHOY7P,46,28/11/2002,15/09/2007,FALSE,FALSE,,996531
242,L4xHedfOJZ4Hr9C,19,09/11/2002,09/10/2014,TRUE,TRUE,,908635
243,jdVSelp2sNhCSTD,180,07/08/2003,08/06/2011,TRUE,TRUE,,505861
244,xETl7XQAW59K6oy,75,19/05/2002,06/01/2015,FALSE,FALSE,,596724
245,hjGbsYHCmrgWQv0,81,29/11/2001,08/10/2007,FALSE,FALSE,,527698
246,wMkynzGVuZyKing,260,23/01/2002,10/04/2012,FALSE,FALSE,,878617
247,ACk3Ze8WW6LgN81,129,17/06/2001,12/08/2008,TRUE,TRUE,,231776
248,StnbMx8qknxfcU5,248,30/12/2000,15/01/2011,TRUE,TRUE,,445433
249,2c12IiutrHuU5JJ,62,29/12/2001,03/10/2015,TRUE,TRUE,,890953
250,RPkf0XYikUUHxcF,17,14/09/2002,03/10/2004,TRUE,TRUE,,602839
251,eS9B5TQap0SJN0t,104,25/05/2001,19/08/2006,TRUE,TRUE,,681009
252,Jx8PsZNDXWFZhpA,18,02/03/2001,29/11/2013,FALSE,FALSE,,607555
253,riNsDaItAwgSK6b,26,18/01/2003,16/11/2012,FALSE,FALSE,,196879
254,Y4hdGk4eaA09VU5,283,05/06/2003,10/05/2004,FALSE,FALSE,,405450
255,ysZy3c3X6oglP4L,184,28/02/2000,15/10/2017,TRUE,TRUE,,70533
256,PtwVA2rVvR2eqgi,282,19/10/2002,28/06/2011,TRUE,TRUE,,992508
257,7vRkmEM1GosHC6w,245,31/07/2000,22/06/2005,TRUE,TRUE,,54282
258,cV0JWyGEdDHavIM,200,13/09/2003,18/10/2014,FALSE,FALSE,,606189
259,G6AXuzh46JtWrt0,184,23/05/2002,10/05/2005,FALSE,FALSE,,753652
260,ehVgz226iQ2GqsN,172,12/06/2002,08/03/2012,FALSE,FALSE,,248026
261,vBjOMmkktQSMYGQ,258,12/12/2002,17/11/2004,FALSE,FALSE,,318469
262,1pW6VirSSE1SsWn,88,24/01/2001,28/09/2013,TRUE,TRUE,,905601
263,2wWEsZK4JU7NoYr,177,23/05/2000,03/03/2017,FALSE,FALSE,,398962
264,9ZXtsu7oUcwVOjp,208,25/01/2003,25/07/2017,TRUE,TRUE,,354491
265,dBpTCK9gZtAwLak,298,05/04/2000,24/01/2015,FALSE,FALSE,,77718
266,LJvJkH0nYPsRURR,236,27/03/2002,02/04/2013,TRUE,TRUE,,984363
267,fgmyFyfTm1BNXyl,45,11/12/2003,13/05/2008,FALSE,FALSE,,500928
268,a0qrx9BUcElOyTa,63,03/11/2002,12/10/2012,TRUE,TRUE,,192223
269,uZ6j8Rd8po8zly2,4,18/04/2000,26/02/2017,FALSE,FALSE,,681391
270,ugoXk9zbLCjEvdx,39,08/04/2001,08/01/2013,TRUE,TRUE,,356807
271,pgRNkZ6L3OuzkFp,43,08/02/2003,26/12/2006,FALSE,FALSE,,720666
272,pLySRXnGI4chOln,191,18/01/2003,12/02/2004,FALSE,FALSE,,690114
273,97HPThFVU5NH3m1,36,13/01/2002,11/05/2012,TRUE,TRUE,,145674
274,BQL2kAIz7RZf1yW,109,01/03/2001,27/08/2005,TRUE,TRUE,,570254
275,kM2vt1J8kRR3du4,25,21/01/2003,07/04/2013,TRUE,TRUE,,531139
276,YOHtIBAx69yQDOa,75,07/09/2001,07/11/2017,FALSE,FALSE,,746916
277,NF55UshD4UmBPbQ,81,29/01/2002,07/12/2011,FALSE,FALSE,,915989
278,FkHsYpEWZ55F2mR,81,03/07/2003,28/11/2017,FALSE,FALSE,,445332
279,WMZqf8YBtOIZVgp,164,14/10/2003,10/10/2007,FALSE,FALSE,,527267
280,lFwF8xw23Bcoq46,160,17/03/2003,14/08/2005,FALSE,FALSE,,915295
281,icS4nIS6133m6ub,106,22/12/2003,17/09/2012,FALSE,FALSE,,934456
282,HFgU8udiyaUe7P2,50,10/11/2000,13/08/2013,TRUE,TRUE,,354463
283,TZHAXihsHgDvm2J,127,15/08/2003,30/04/2014,TRUE,TRUE,,668773
284,KK5h2AqkgpUVha2,241,11/12/2003,20/09/2007,FALSE,FALSE,,425394
285,18Fy5sNe7MYmKOg,113,12/08/2001,20/07/2008,FALSE,FALSE,,19829
286,FucyoEOE4BBlvl6,33,28/09/2002,01/10/2012,FALSE,FALSE,,989263
287,OAsBiVRofz8uqTI,49,27/10/2001,23/05/2006,TRUE,TRUE,,735453
288,M5d6HeIQWaDfCVq,221,04/04/2002,05/01/2006,FALSE,FALSE,,963518
289,nUYqpzgbTVZysYV,251,18/04/2000,11/09/2010,TRUE,TRUE,,960963
290,zIsTWBoXmdKtkrl,160,06/04/2002,26/05/2010,FALSE,FALSE,,637830
291,11YBpIZ24zqyH7U,224,25/07/2001,21/10/2010,FALSE,FALSE,,45280
292,kx4P0lRSLeJQW6U,225,31/08/2000,14/12/2006,FALSE,FALSE,,17049
293,fI5OB8PGdFVenEO,123,28/10/2001,01/11/2012,TRUE,TRUE,,86849
294,POvXynCPsVcVEKg,272,16/10/2003,14/05/2017,TRUE,TRUE,,267893
