ID,result,revision_date,branch,author
27,lfnzI6YIuU0JCY9TqQyDRUglqZRgYb7sWVHExkTF56FSMdzM9Pv7LuTQ9BJso1tTWHxqQ4fG6tHVONYMkFhIpAhmC1EwbkaDMw6FqI5EtpAcm7Bwn6IjUknWkKoZ0tpVSDIcQTfcKdZ9,2013-03-06,7531,8230
28,zSIec1tlIkefdfOAApKizjfTbqY1LnWgLjkhkK3aTgTqy98oOZ9U3aPPxzCwd2afN8U45qZzvtOTQzfbrtmwoCmuUUtvIH7bFyczpEth9JiJL697TkEtQo0LWkjk7nrowxNcXpwnAEwe,2012-03-31,1230,5876
29,UwbhCNLb7RdEeIkVb4XYthkoyatL1Vr3BLQLMKlimvfGLrJ1daDjFKpxLxsme9jlkkCT2ZJRSyw7CecGR1rbSHy1fc9Zb9DmL3flpz9EQvRRXrvqUmUnSISdwKxZau0SuKwI81bb1nKh,2010-08-23,2711,6757
30,rSFypaTDlCzeCjog59gN5mrcL3wo7vnPq9sHpBnU0th5C7ZR9omzAQ2EkmnwnoFzZkxC1g03WMXMEwaOdepTJxPaGngCY0qLnrgbJWacxsdx2qAyLYSJ9wqlVW5NAxfffMiWP8EHDMfb,2015-11-16,9354,3640
31,nr19igL1B5GwaMc9M8SqHnjNULFwQPR3zfkT6g68AqVT1Rq1ufOVJ1S9HnpXbZlwnM75lIDpBTpbRPVCeOBuA6u7MkLT1jhlFjqoTvPlciT0L1r1Sm2MX0vrcAsA7tycvEWsjqss8ZRb,2008-01-05,5568,5099
32,2TAOqVNOx8MTDOosu0EHf9Sl4KN7jTEhOWHntkvZ0H4ldYpuvirwzo03BZTgHQpe3pFrGB9JEoQXEqIffdMAlSrjfOlTQPSkcarxT7nujirLYdzURyBoEp2l8fL2Zq3zWq4n9ULh0baD,2006-08-01,2563,9983
33,YQCcOnfxhGzxwuU3o2yriLV7mdymOzAcUIeInbksKHG3eYvFHhYtrdeN5Fzuz3jrFXcnQLPNRFhaFbcOssfqbRu1nQNil02QiYxH5Hy5SKbl5EIdmkBHY2Qyml998rlaNQ2qoVTl3jYQ,2010-07-29,3725,6417
34,Iu5Byv2pH8eTHz6liBYoMbyRRaNzeA9epa1OvklbYMip19dEmwrxuRXr5otYiCKH9Aor8s08Z7Q92JZR7IMsSLuXDJSG0N2VCbq1UwG36tYwBYyvPbaZ0czxPQoyatHLE46bdi7LCSvj,2014-10-19,1496,1264
35,Ug1Yxcfkm2lDHRdMlMsGbXSqePXirPAS49d32sYlZWyk73Duyi7kPQN6OK4hF73W1SJIxkU3yGrFirtlLmtISaDnvgosy0gcccsot56OOEwIjIYgbSWcNuDbOfWR5lE7kPmG8E1Qqf4O,2006-12-13,5840,9565
36,IIQfeDOsZRaOipSm9yiTfRhXbFws0zxTbsIxVjcgA4qronsAMRPzXuI0k2EYRf1jdGxzheQaWBTllztxXvfij86qkRMceDPfCGNh02dsBzdVbgPuJRBf9TAfKGOQSy5SvyiemL7eSxhu,2015-06-25,8095,7165
37,BbSNCuftGsXtoNaM3Kkn8vI7ThMMvPAj2KO0fsPBSzX4yN0FXU0UAkFPSV3fhS71rx1d8jrL5iUIYOIGrGzaYpjRF8hJyudA1gMBWWHxnpZbQ61EMxxadhcCNjY9BhXKFUR2BHuU9Bwt,2016-11-25,4080,7560
38,Hc7B6CgUDKxw8HvGROV5p9DFCdbcusvFiP2jjVNCy6y1T8V2PqcBwGcIZ28dlEkVYsNtPMg5BTHtKMvEHjMDQuScxtJrXuatWdclummCJgAd8t7NG4VC2gEoav5fDyiQ3XXrtKUf6J3u,2011-04-22,984,2397
39,w5lcZX1zYyL8qH9V7tjlWQe6j0GsnU4kS2tHNF0fghS48VyzKiwAP2rfbo3jQIME4kqyX2H13EEy8j7OBRiEh4VaKOpjMROXVOAYp9bSa4GLx2g2qoh9kHgAOPnJMiplzrduiiiBzQon,2007-03-10,2250,5753
40,rx2htOwNrAJZWSF2PfWGZwTHGfKUd3MEnVbZpH1k4PCiZIpgKvXRyg25dubOEcuyxFwB0pMInvLKtvs80oJrf5QGcg65qngcfOuTWnqfjPoCVsMrCdXZSCT2ypiUtRcAPtoeBZlM7oIQ,2017-10-13,7395,459
41,UO2NQGJc51eqEWvSxnxmDrqn1Kbo4Cll4y9eYOtIjLjJ45Il2zdnaJqniPVFofi2P3vQWQ4i3oC1Hgs5C0vEj8KuIW6I3oeEnr3AJ1Pl54tvGyfBhaDytdSRsBH9UvpPK8OZmswKkJJo,2008-04-10,3061,5504
42,05lckpUKYmRIuPRJPdlIkFYyo3NkUnBUXxJYKMpeoEBAanZV19Zwxftvhwyrcu0ul7v6G38DxGegEYYAd2sUOPg1DY1YY8B3NQZc2cO8BW8qANqJXxNkBffVb33sBkpzEkSx85IAntT2,2016-10-09,3869,1747
43,rsAkub2ruDB8jg6aqIla52KcpN7SMnElCDATjEFnskD53JaGw2LIOa4yii4gdjeH9a6gfn0lC8rUzOigw1fUb5WlILuBKjJIF56dN4kIBjGQsj9TAYumEKqDEUXT3zbdyjP4SFT1QWS1,2016-02-06,1255,4112
44,MbAvygD5P2Z2hQPMImbJUFA5F2Wr1yO7bzHbyqoRfUoaqaUAGGtMotOHaFq6KVDaobasJyXc8KoAakPphWluFCTskAAs9sHJQOwO9m0StROeFNq00BYxuSVmHsHJxocPCetMyAp5fSBy,2008-07-31,5305,4202
45,TK28UTY82JHQfrfEz8bkeeC0VdScRhySGuzmwd5sGvTo2YZxw79zXC2yIBn1B6qVVzKv13RVDsetKX77DepTi94E1Adu0ErKE7TDNo53pnwohJnvEpyhQWxW4G30Zgf8BUoNE3tYiwo4,2009-11-07,2137,9466
46,XsqKQK3rJ6JHuFeJIxnNeaqK6Z8es3JpkLdq0Us1a7DHulndSewZlSN6CgN0LZ8QxdgjlxTxEwxhXjZUwfMNGtDS8hoTG1pB8wTQEE2eL8UzepjcG3EqMuKEaOkDI9rNGwjkPJPrmrCH,2013-05-01,261,2291
47,8LNNw8yNmP00dyVMRHssG8N7nXDesCqMbSF7vdaH7V8ASZOyWz0QeEM98QkZ5TfjinYKtYbyrkuuAMoNIPI3MZsWGF8e3AMo0YbpADE8YCj4Ub9vmWQpKmXI5CEnZ74qXG4lv8MFLKeJ,2013-04-07,267,625
48,GN1gthdOASu88bibH3gNgXAoJLeAHOSH9ZgLFX60mqlcOOGtlDC7RyItNNXiDdGwAm8j4WVu6pl0via5EuZDMVzLQx82AYxJjzblPhzOsSAlMS7pxbdSEDkpxxSGYdti2cQ6Gzqh4KV3,2013-05-27,8761,3121
49,0TEi5eEgOwxbOt0OictuCAi8v5X3rqUjzUQEYLnXXusUBOTLUHV2eN5zuGx9GLyibOm3cvzXyVWSSO6gmMjkUcFlYbUSYnRM5K2wmZtjR8DI1nhgJQX4mON9IAeBbh8LEKWIWJ3McASW,2005-12-08,1097,7799
50,4xIHPWkr62om4rHu92DqQYKAWLbl51lLPtHnZ15skpLdfRRu2iWf3EefnIuE48vFRcWLkeVI7VGkNqeF3qtXeFSLOm9RG0xm4GMD4GKXNOii73S6npKNOYkLKK68eEBGhdqHebKxgWKQ,2015-08-25,9675,213
51,TCnbpjXffA2uJL2IMcBeMLcMeXr1OToa6locaka7GLleiaoUdBEEstIIka6S2fRLVbxhhaslBDXBj8nEtXYMPksMdf19oIFk3ZIGmGxDTcDoWGjlx2ieHE6vtkEBis727xHJzhbmjU3w,2007-09-03,8387,7423
52,6PMvjkcydXXCCvekfKri9ZwQa54wLJNptrFSfLSWUSqcJZkxzSRWWRXgd6UnppnTJsSUqMET1UOqtUGBVG7220TbTiyj0pqopXSbGQHnO7fBDrxJzSSisuaSZ0AIXfdMnjAWBp5E9To5,2009-01-30,629,3478
53,upthWH6469CQP8QseSYerbHKXNjZGe7HcYXsw50fnFZCnpzBC5bC245ThjKIigybC4x1li5jc20lBEgsYhWKD4OicEKNvr6GQ7At17aeA2kADTRcCctAKoYHpPYgXsyu6tUEEx0aH1KL,2006-03-13,7586,8012
54,wrKS856mj2Dlj3GREzDT8NYPlS3SeMxauPuqhfwAxseLtO1Ou2HeKLKjS5rpCoIWFm1UIatjDDgQsNgWbohlFTQjELXmxG8JkHGGXhFUJhaHo40FZUOXGhRvWRP7DHv6FWpkHZ94iNch,2014-08-14,9685,2769
55,URNc2kCD0UtGSHRBweCSOQ89VUz3Ft2OWEnv4SDeUmtwq2la5avYFm5ETNHivJ8HcetNegHdah7mgLScsY7o8dItJjbqLftKomULIY6ZTS8ioShH4o0WLTJ8WAD4EaR5xx831HTTbiVp,2008-03-04,3845,820
56,BUvhoX8UdVzIUBV2ADu1UoQxUg4n8ddv5N3tpuQayoafSK9aMdpb0NgXE8MIcVW92DNHIlNQxTCqNufJhebeyB5rrgpqiH8dRanO71SkQZogKzJUdCk731L1Hfal5grpVjYwGQMpM0OZ,2014-06-18,7713,404
57,WVNghAjaPwHbbqptr9LlbXNMz4vDmwes8iPkSLIU97hUJuOgLesXO5a8IAqmPgxcSYd3aEaf00ld03DFqP2HEGdCIRcRffEdKEBuQVFGENgXU7IO7k6AnqYL5auJmI9VwITw1TyVJvD1,2005-12-22,3448,8471
58,INU4jDzep0y0k5d5NLlLnWWowk02mhlzsjAZyEvsSzGBe8vNSInYeghw0pI8M71IO9IA4EGJZ33yPVKyznjd3NVLCOiI6xfV77xezuSOCe9knsgffTIjXXOAn77qf7MlXh1Rhp8EUVbZ,2005-12-11,28,6584
59,rDmmo57jtw02xmsERXNF0O7zVDPC6zw3Zm9cVk6bkSivyFRrmXH0hbecFxQlq4n397dKmQtravfiqMBPvhais5W8IgXhTVvpopv1mHFWoaav55w2wBzIeELDkfBF2LXEAz3BbJmocD4R,2014-01-29,8538,4011
60,uevSgnLjdrQHF9ddDVvGBubmYKpaK3i9cyVYZFiWoUhu2fjdkaOJz5L9DJ3V7vYjIQoRoFE7xYcrNqt3lL0upZJhnVUPLMZ257lm0RzeWQVbddwWZAuv4o4tGHoSuywl9jwPFHCTWVXY,2005-03-21,6077,2821
61,i8zLbn8QD1fsnguheuc4rhRS7bZjQgqYEeuw8lKWlfMNmUpzlz4SPJcBrhNANYAgLGoJw7j2kGSLVDqnvj8amXI4CsFbXJIMfpCfpgDnQBsJ0Qqn0kOnaj4x7tHD2Hfa8GqpBK7PgUJk,2012-01-19,4788,8077
62,Cbkx5ew6uOh5Y9vJgSLukAmqm8HGZUI8pVBahrfdTu5wmC0hiAEXyUKBz4K6WqgaFjQD7Vmywra0FzDkHkhZPvKVKAlmhjGnNfqDvxjNYPkG3U690kywIHKUZ526t9RNkwmkIAyUAUA9,2006-05-20,791,8474
63,Elw6uTfGUWn05ndZ8WfGrW00vewxGKJVdC2HNUdRRgPwW7YX1lByiVIsv5LQhs9JMSX2uVLn3OzLGEexFZ5fJVxI3KWRJMtihGjDkfmgZY4Uf7lrbXLHxeA1fP9k84ereQnAeaNjxYFu,2014-07-26,1813,5844
64,io0vBlvCFsiUgChf4NzOTlNAJlUYYPaCmCBTDsp2fl4w22Cu0k0NnXn7bzmZRWnzRfseANbLh6ssqaIQjjiyZMZOZE1NGQlJ7EeWKhumIoqqp4QBrV0ryzaEGdE6WNFRUjvm5wFBz5qu,2008-12-26,3719,3882
65,y0guZ4VIoaPrcxQ4iYVFJoF5Py13IqhY3kIfrU1aNn8fgYiBowLIWdVKvlflDc9721y2pvMNh51gpkY1PzOWeZBZP8tGzQWvnAmpkpW3j7lalyeLMoVNNnddzYnrBGYQjG2p8tRkcVwh,2010-07-24,2538,2934
66,ei3L4IhAgIzLCp1cjU1f6yMdXvv206pOkMNcNNVai2Iz4FhxdU8dtSepVZxJXpJkdklzbYPV8a7DpXjSO7Yg7LfRshGxZMC2shWTdrVEFmfSVaA80f5aRnnREUH4Sb6vXEVHBPzglTbV,2016-03-28,5079,8930
67,hI73RmlE4EOIkbwnqt4QE26kqZy7MRl2XzWJdCevdQM7Aq6Jgxp6RqMpLXN2xn2ncWvuFmKnOJwyp9jAdpaYlpkrmr8Gym7zYjeo5LE3mBrI3Y9LxNZIMdBxvDIXoEzmL6ZGe5FRkhvk,2012-12-05,1781,6012
68,swTlNzn4hr21CrPiMF6693q1IHhprbzSP4p2uNZWTfixCNP3SNX2g1OyFbdGS7NG1jmHBXx8qkmeV3y41nXeD7wXq0wTuSDWRb5clH14ZZL5OudMmiOojsD4wObLkeOXgQM37VTuwcFo,2005-11-26,855,779
69,XjqLEZwjYBqWqqU4LyY7ijORPd2HnZI5EfxAyCSHemf6p6EFIKd6cLXyUZ6khp592uRK3TFIfRd5DSlSZw8c6Ld3H9pZGsjzqfE5o3MzEUbKscuCxnKuqdDqRYD4nqCxsoOiOqngkJXl,2010-02-07,9360,4346
70,OnlchyINcXoQ0SMYSocENMyHAoKgFb58NXp9FjP3fBF0CXpS79TG0GbCyec3olHAbpCcmMTsYiiMG7Fm82jGIzHG5nKlHWP33EYWUNpuqkrRhP51Yz4vCB2mh5g9BskCTpSCjtSvMyah,2009-04-28,7454,7395
71,rTMScd02MwyZqqt8Ap8263RphJiNlUerW0RrfSjzyazw52FgFchc1quyBhuT5nR1SGCzYBcrFIDfDfuoDBIJxB0pGdq8hQ4LJ7eyzPID9zXsnOugxGP3fIEQQXt5VeJyO2WGA5yy3EJ7,2010-10-07,6855,37
72,sJKbBBpB3OicfMsfpieu1og1Ra9b8GlIU1MMTswMMVMvWVSrWoSGmSAEmTKlBOCxmZIoAfL7vRhgbue5HSEUxfgB0HjAiLL7TZJ7Nnr0cVUUuen2yOdtJr9H3Gy26LYkGjMBlhrdlO1c,2017-11-28,9297,7102
73,dqMTrbylaBDGzy3R6tOKRlRQgAI50g6szcYP9F3pvlljelowVkgb7HE2Z5wrS2v3FVRWZoS10iYqArw5VWkQAfvrYgzDSLX30sdJTRWqRpkYsX2rI0V6Se2kkj83yOipLfzROnmE938V,2009-12-05,5278,1921
74,oH4czakVz2jtTd2DG5NMikdfOR7ZggqNk7PqTFzu5ebVE3vfA5O9IwcDoZOidKzSMVJVOMtAFcREIIbUfcYlSqFxeLC41QRuoJIsuZQyLN4qfY5g73CAwOAgQV0DKzJyKgZ99skGLjZE,2017-12-18,313,840
75,Qf68OQ8aImcYiNoWEFf895gOT6zMy6t1Duwo2Kk3i80XPLh75C9r3THU9spSbwmM2lVxbAe3elZAEJ8HY2Qv6C8tnbpJfScvWofo0ug4iFMR3GP0th3jf0PzmlK9VUXMJooanURoVWN0,2016-03-24,5769,5034
76,Lza8Y3QgYqBOjhjNr9HPczMYQPNJmZ85wnxg4ZyPXIB7SCEywAI1jjEWmBrJpG39sFb6uCTSL22UxPGNKZWmQGWMia32rojROCPMlHEtr0qrruiX5e8QuRtltPYTJbkgSkFv93mDVm5Z,2007-09-18,9167,4341
77,1g6NqTh7TndWtukQQJYGpxXC255HWUKDukbmeXz8DHcWZQTkCoIQQYHEJ4UvYZl8damIT7v3UZChVBmmlUFrL4wVcXdjCEkngd29oKRE3P61VjsHRrJDU4xjnQq5eL0PzYB2In8bDAy5,2018-07-26,7000,3118
78,oVSU4hTmpTVXeVjrZrC6i09ots9UF2lsQxQI3fURFZMySk6raGgQ3DUyWnlMh9gxsmHrEbx4Wu0InLWIvR39VVyMccwP3HtG3ZGpdPn9Tm4INLKLRcbQFhbXy5OmohAOBtPOEqpfo3qt,2008-04-23,7264,9786
79,Sl7aqdAV7t1iABUvmpHd55Gkx5lM1r6H67UDjjihs4QVzHfni4HvifVWfXnu1yePwtlDqRLCHjuBouuqa7n6kKjam7iM5xp4ZAiGfb6QtEo8vTrum7U3KipmJLbst8HT30mnLoK8BWMf,2017-09-22,3744,1274
80,Qxk8cwt1V66UANhu7UE4rDj7wW2xVKGifIc6XI0HHvSPr07xzchKgvkNNmMG35fKzYy1vlXzd6x6uUQ5YF83n5CuiOsv5uOLPIZTBFCNFrrj7nd3VQry6mg3VETg3l3tsmrl573TDuy5,2011-06-17,5879,2174
81,vzZoCaOnlf77vfUdx71V618YWYvMylo2QZuDMPqSXE9Z96hhaVHRlb741ASnoCyA1FqWuQQiQj721iYa1NvddXQzb0ML7DnVP8i4PKxJEjACdEDSl1wbQVhdy143EElN5mn2AeKramY3,2005-10-02,9687,2935
82,x4jFQME3bEGYP3F97xG0aKRHqFBo7nGjfhGKeg6tiub6YwbggY6jIe6mmcYLKZ5x7g2rx5fb0WSptVt4neHirhaBldhCHviIzn813ttl3ftwMQ3RsehqRXGaF1GTXcTFxJ0FW2A3vgoL,2007-03-08,4982,6969
83,kQTnN21chhvCmaNbLn8CZy40do4vs4mbBwsHIq24SYhyG7QVTNAKqw4wVdJj7Ftn5UA0rFSfvDuAQGtfXjbe4cuP16wogT7Mo43w7anN4eYmC3gPunLYnPtcjv9vTo8cGhVWM6i65OjZ,2015-05-25,6028,2160
84,ag42HiiZLbMMb24Qg6fehJDxFOcZpTYahBVwuFUi96LvtWfDTS2HntZQdGx2GIt1CwoZhIgbm7fl8REttZGWaRxylESnScb0MTs7rFfKwbepNyRMCEJrCWav80yc02JKfpYpjGBn35k9,2006-06-30,5037,5268
85,wGlOSuxz2681RCU3SUJiZmm5CfxGvb90PApuR41v1jwmHJV0lrqb7BYKdpLw6rDb7HmRWjlXdYrz09y2K7fEuh3NlfQltEyKfUp9hDdBFT8iUiUe1Sm9L9raOYp1TAoYkhUfUyUGdd8b,2017-08-04,3352,6418
86,Lwtacy8fnOvJXlsFpk8wNyKD7ffsAQ24emqgQN6wiz2FCLs1u3v8WGzWmpc6SPeWW0ov5LyboLNY6EAwwn7He3iXxT4lv9dSUfsLh76jFUTK2aahoqKpSX2cSQ7mQNqps4EaVyPzrYBK,2017-10-11,2718,9071
87,2X6EzyA6nQ3Q9TS2nob7WAL0aU74Ws25vlu3Rl044HxF58zYFJg56hA2LGne0Gk5X8eYiZlByhDOMG4cfjyML79Ol2rL7VEyh2r7dbzqieGYevpFLL9QRXta8QxqrZEcdOqUY68DtHoq,2006-05-15,2909,9318
88,Ml9wWxhKIR8NoI8Ian5PEUrPN5hJsDjYg7dGaSGprgLH7vZlJgPMoeu24tiaQXbFrkqqp2rIhPhiIkScg5AMxWuCMlMrtpZTFGZXEt5QyHpY6MtUbF4UXORUzndDqAZ20OdCK5Xw9tYq,2013-03-24,474,2084
89,21QnuF60yFhbP2jxswistrJfsHUn0lmdhdLyuvIuRmNFX6hHKk85xXQKsu5mvSANcD3wquD6nxaGdEIwkMdPnrqKMAGA0g98mAmUCubZhBRA6JqnmIBizujvXtkpoDGHxbedbxt0vDsm,2012-03-16,3183,6670
90,TcXrebJ2a16SJvve5JNfpNMyYKxvC7VsghVLpYnVSlDj0bq9SOrPbrWGQjSToX0dgOwmZjygg1NEKm77exdxQGQyKP5FGTr4vkDlpEktZKskeS6nlVz13CMZ87bKosaNKSSkjVSZMuYF,2018-06-26,7254,7952
91,SSevdzAtXnnrmZFqueZMAWEPCZoJnHCSnj2VOouURjM5skxxprU2QH15NOsDL1FPkUEDhtcGuF5aJIhbm1e6wKCgs6I96qIZe7UXgtP6POHLLawFrQbUWIcaShVllcJE6f6MxJ52liri,2008-03-26,9830,6525
92,KCSpPyCVe3E8YoVwEDOpdjRhVisyb4YcNDbiKezHcls3F7d7N4d9moxkuuUqGO3jfmvVNwmkNHN11YcYEvlhaYziP0yZKIBOsIYcLItaS3vfb5tWS6mUmVIGwNGW8MZFF8JsA9M6BLOh,2011-07-30,4776,3578
93,HbGNgqmWARp8CXcFdqZdwAWTuqTbHlebHwPgGLiZVwrtTN3osJD65mhGFxdzXLPZwO1PI59RH9I9Sn9gwos7higePIbSssCKhS6FWngxJvy6ehxcx7DscR1OrWA9eqjY77cAq4JII5xv,2005-11-15,7730,5502
94,U8fupUrParX9ngSdMZ8gFxv3x4jhdGeHVSpfLztmQMj9gJflmUjUlemgNl6vuJvUMPnV1xRWqVQ2OwXoY85JgKg1pISk272GbPwQfKtzCMoPNuSbNSWvOmxCswptfresdJb99GIOOFGU,2013-10-09,7051,1875
